package,num_gcc,stack_protector,stack_protector_strong,stack_protector_all,no_stack_protection
acl_2.2.53-4_amd64.log,7,0,7,0,0
acpi-support_0.142-8+b1_amd64.log,2,0,2,0,0
acpid_1:2.0.28-1+b1_amd64.log,22,0,22,0,0
alsa-utils_1.1.8-2_amd64.log,99,0,99,0,0
anacron_2.3-27_amd64.log,8,0,7,0,1
apparmor_2.13.2-10_amd64.log,7,0,7,0,0
apt_1.8.0_amd64.log,0,0,0,0,0
aptitude_0.8.11-6_amd64.log,0,0,0,0,0
aspell_0.60.7~20110707-4+b1_amd64.log,2,0,2,0,0
at-spi_1.32.0-1_amd64.log,20,19,0,0,1
at_3.1.20-3_amd64.log,11,0,9,0,2
base-files_10.2_amd64.log,0,0,0,0,0
base-passwd_3.5.46_amd64.log,2,0,2,0,0
bash_5.0-4_amd64.log,447,0,420,0,27
bc_1.07.1-2+b1_amd64.log,24,0,24,0,0
binfmt-support_2.2.0-2_amd64.log,45,0,45,0,0
binutils_2.32-7_amd64.log,78,0,0,0,78
bluez-utils_3.22-2_amd64.log,0,0,0,0,0
bluez_5.49-2_amd64.log,283,0,283,0,0
bogofilter_1.2.4+dfsg1-13_amd64.log,339,0,339,0,0
brasero_3.12.2-5_amd64.log,42,0,42,0,0
brltty_5.6-10_amd64.log,525,0,239,0,286
bsdmainutils_11.1.2+b1_amd64.log,0,0,0,0,0
bzip2_1.0.6-8.1_amd64.log,19,0,18,0,1
cdparanoia_3.10.2+debian-11+b2_amd64.log,34,0,0,0,34
cdrdao_1:1.2.4-1_amd64.log,40,0,40,0,0
compiz-fusion-plugins-main_0.9.2.1+git20110224.g4a6783f-2_amd64.log,0,0,0,0,0
compiz_2:0.8.16.1-9_amd64.log,19,0,19,0,0
compizconfig-backend-gconf_0.9.2.1+git20110226.g861a1d4-2_amd64.log,0,0,0,0,0
consolekit_0.4.6-6_amd64.log,28,0,28,0,0
coreutils_8.25-2+b1_amd64.log,477,0,477,0,0
cpio_2.12+dfsg-5_amd64.log,0,0,0,0,0
cron_3.0pl1-133_amd64.log,0,0,0,0,0
cups_2.3~b7-1_amd64.log,0,0,0,0,0
dash_0.5.10.2-5_amd64.log,39,0,35,0,4
dbus_1.13.8-1_amd64.log,239,0,239,0,0
dcraw_9.28-2_amd64.log,12,0,12,0,0
debianutils_4.8.6.1_amd64.log,6,0,6,0,0
desktop-file-utils_0.23-4_amd64.log,9,0,9,0,0
dmidecode_3.1-1_amd64.log,0,0,0,0,0
dosfstools_4.1-2_amd64.log,22,0,22,0,0
dpkg_1.19.6_amd64.log,71,0,71,0,0
e2fsprogs_1.45.0-1_amd64.log,725,0,680,0,45
ed_1.10-2.1_amd64.log,9,0,8,0,1
eject_2.1.5+deb1+cvs20081104-13.2_amd64.log,4,0,4,0,0
eog_3.32.1-1_amd64.log,0,0,0,0,0
espeak_1.48.04+dfsg-7_amd64.log,1,0,1,0,0
ethtool_1:4.19-1_amd64.log,100,0,100,0,0
evince_3.32.0-1_amd64.log,44,0,44,0,0
evolution-data-server_3.32.1-1_amd64.log,0,0,0,0,0
evolution-exchange_3.2.1-1+b1_amd64.log,2,2,0,0,0
evolution-webcal_2.32.0-2+b1_amd64.log,4,3,0,0,1
evolution_3.32.1-2_amd64.log,0,0,0,0,0
f-spot_0.6.1.5-3+b1_amd64.log,0,0,0,0,0
fakeroot_1.23-1_amd64.log,4,0,4,0,0
file-roller_3.32.1-1_amd64.log,0,0,0,0,0
file_1:5.35-4_amd64.log,3,0,3,0,0
findutils_4.6.0+git+20190209-2_amd64.log,599,0,599,0,0
firefox_66.0.1-1_amd64.log,0,0,0,0,0
fontconfig_2.13.1-1_amd64.log,23,0,19,0,4
foo2zjs_20171202dfsg0-2_amd64.log,0,0,0,0,0
foomatic-db-engine_4.0.13-3_amd64.log,2,0,2,0,0
foomatic-filters_4.0.17-10_amd64.log,11,0,11,0,0
gamin_0.1.10-5+b1_amd64.log,28,0,28,0,0
gcalctool_6.4.2.1-2+b1_amd64.log,32,31,0,0,1
gconf-editor_3.0.1-6_amd64.log,16,0,16,0,0
gconf2_2.20.0-1_amd64.log,1,0,0,0,1
gdb_8.2.1-2_amd64.log,1,0,0,0,1
gdm_2.20.9-1.1+b1_amd64.log,82,0,0,0,82
gedit_3.32.0-3_amd64.log,0,0,0,0,0
ghostscript_9.27~dfsg-2_amd64.log,627,0,4,0,623
gimp_2.10.8-2_amd64.log,1409,0,1408,0,1
gksu_2.0.2-9+b1_amd64.log,2,0,2,0,0
gnome-applets_3.30.0-3_amd64.log,3,0,3,0,0
gnome-control-center_1:3.32.1-1_amd64.log,0,0,0,0,0
gnome-keyring_3.31.91-1_amd64.log,91,0,91,0,0
gnome-mag_1:0.16.1-1+b1_amd64.log,11,0,0,0,11
gnome-media_3.4.0-2+deb8u1_amd64.log,3,0,3,0,0
gnome-menus_3.32.0-1_amd64.log,1,0,1,0,0
gnome-nettool_3.8.1-3_amd64.log,14,0,14,0,0
gnome-orca_2.18.1-2_amd64.log,1,0,0,0,1
gnome-panel_3.30.0-2_amd64.log,44,0,44,0,0
gnome-power-manager_3.32.0-1_amd64.log,0,0,0,0,0
gnome-screensaver_3.6.1-10_amd64.log,21,0,21,0,0
gnome-session_3.32.0-1_amd64.log,0,0,0,0,0
gnome-settings-daemon_3.32.0-1_amd64.log,0,0,0,0,0
gnome-system-monitor_3.32.1-1_amd64.log,0,0,0,0,0
gnome-system-tools_3.0.0-5+b1_amd64.log,48,0,48,0,0
gnome-terminal_3.32.1-1_amd64.log,40,40,0,0,0
gnome-utils_3.0.1-5_amd64.log,49,0,0,0,49
gnupg_1.4.20-6+exp2_amd64.log,328,0,326,0,2
gnupg_1.4.20-6+exp2_amd64.log.1,0,0,0,0,0
grep_3.3-1_amd64.log,417,0,417,0,0
gstreamer0.10-ffmpeg_0.10.13-5+b1_amd64.log,0,0,0,0,0
gtk2-engines-murrine_0.98.2-2_amd64.log,0,0,0,0,0
gtk2-engines_1:2.20.2-5_amd64.log,1,0,1,0,0
gucharmap_1:11.0.3-2_amd64.log,7,0,7,0,0
gvfs_1.40.1-1_amd64.log,0,0,0,0,0
gzip_1.9-2.2_amd64.log,0,0,0,0,0
hal_0.5.14-7_amd64.log,73,0,0,0,73
hdparm_9.54+ds-1_amd64.log,0,0,0,0,0
hostname_3.18+b1_amd64.log,0,0,0,0,0
hplip_3.19.1+dfsg0-1_amd64.log,11,0,11,0,0
ifupdown_0.7.53.1_amd64.log,0,0,0,0,0
insserv_1.18.0-2_amd64.log,0,0,0,0,0
iproute_20120521-3+b4_amd64.log,123,0,0,0,123
iptables_1.8.2-4_amd64.log,285,0,162,0,123
java-common_0.71_amd64.log,0,0,0,0,0
kbd_2.0.4-4_amd64.log,54,0,42,0,12
laptop-detect_0.13.8_amd64.log,0,0,0,0,0
less_487-0.1+b1_amd64.log,38,0,35,0,3
lftp_4.8.3-1+b1_amd64.log,1,0,1,0,0
libcairo-perl_1.106-3+b1_amd64.log,0,0,0,0,0
libcap2_1:2.25-2_amd64.log,0,0,0,0,0
libgcrypt11_1.5.4-3_amd64.log,26,0,26,0,0
libgdiplus_4.2-1+b1_amd64.log,0,0,0,0,0
libglib-perl_3:1.329-1_amd64.log,0,0,0,0,0
libgnome2-canvas-perl_1.002-4+b2_amd64.log,0,0,0,0,0
libgnome2-perl_1.046-3+b2_amd64.log,0,0,0,0,0
libgnome2-vfs-perl_1.082-1+b4_amd64.log,0,0,0,0,0
libgtk2-perl_2:1.24992-1+b2_amd64.log,0,0,0,0,0
libhtml-parser-perl_3.72-3+b3_amd64.log,0,0,0,0,0
liblocale-gettext-perl_1.07-3+b4_amd64.log,0,0,0,0,0
libnet-dbus-perl_1.1.0-5+b1_amd64.log,0,0,0,0,0
libpcap0.8_0.9.5-1_amd64.log,31,0,0,0,31
libtasn1-3_2.14-3_amd64.log,14,13,0,0,1
libterm-readkey-perl_2.38-1_amd64.log,0,0,0,0,0
libtext-charwidth-perl_0.04-7.1+b1_amd64.log,0,0,0,0,0
libtext-iconv-perl_1.7-5+b7_amd64.log,0,0,0,0,0
libuuid-perl_0.28-1_amd64.log,0,0,0,0,0
libxfont1_1:1.5.2-4_amd64.log,0,0,0,0,0
libxml-parser-perl_2.44-4_amd64.log,0,0,0,0,0
libxml2_2.9.8+dfsg-1+b1_amd64.log,2,0,2,0,0
lockfile-progs_0.1.18_amd64.log,0,0,0,0,0
logrotate_3.14.0-4_amd64.log,4,0,4,0,0
lp-solve_5.5.0.15-4+b1_amd64.log,0,0,0,0,0
lshw_02.17-1.1+b1_amd64.log,0,0,0,0,0
lsof_4.86+dfsg-1_amd64.log,1,0,0,0,1
ltrace_0.7.3-6.1_amd64.log,1,0,1,0,0
lzma_9.22-2+b4_amd64.log,10,0,0,0,10
make_3.80+3.81.rc1-1_amd64.log,0,0,0,0,0
makedev_3.3.8.2-0_amd64.log,0,0,0,0,0
man-db_2.8.5-2_amd64.log,24,0,24,0,0
mawk_1.3.3-17+b3_amd64.log,34,0,34,0,0
mesa-utils_6.3.2-2_amd64.log,0,0,0,0,0
mesa-utils_6.3.2-2_amd64.log.1,0,0,0,0,0
metacity_1:3.30.1-2_amd64.log,51,0,51,0,0
min12xxw_0.0.9-11_amd64.log,0,0,0,0,0
mlocate_0.21.1-1_amd64.log,5,0,0,0,5
module-init-tools_3.16-1_amd64.log,37,0,0,0,37
mountall_2.51+b1_amd64.log,0,0,0,0,0
mousetweaks_3.32.0-1_amd64.log,13,0,13,0,0
mscompress_0.4-3+b1_amd64.log,5,0,5,0,0
mtools_4.0.18-2+b1_amd64.log,66,0,62,0,4
nano_4.1-1_amd64.log,135,0,135,0,0
nautilus-sendto_3.8.6-3_amd64.log,0,0,0,0,0
nautilus-share_0.7.3-1+b1_amd64.log,1,0,0,0,1
nautilus_3.31.90-1_amd64.log,0,0,0,0,0
net-tools_1.60+git20180626.aebd88e-1_amd64.log,0,0,0,0,0
netcat_1.10-41+b1_amd64.log,1,0,0,0,1
network-manager_1.18.0-1_amd64.log,142,0,140,0,2
notify-osd_0.9.35+15.04.20150126-1+b1_amd64.log,105,0,105,0,0
ntfs-3g_1:2017.3.23AR.3-3_amd64.log,37,0,37,0,0
nvidia-common_20110426+1_amd64.log,1,0,0,0,1
obex-data-server_0.4.6-1+b2_amd64.log,18,0,18,0,0
onboard_1.4.1-4+b1_amd64.log,0,0,0,0,0
openssl_1.1.1b-2_amd64.log,1921,0,1921,0,0
os-prober_1.77_amd64.log,1,0,1,0,0
parted_3.2-25_amd64.log,13,0,13,0,0
patch_2.7.5-1+b2_amd64.log,0,0,0,0,0
pciutils_1:3.6.2-1_amd64.log,31,0,27,0,4
pcmciautils_018-10_amd64.log,9,0,6,0,3
perl_5.28.1-6_amd64.log,0,0,0,0,0
pkg-config_0.29-6_amd64.log,0,0,0,0,0
pnm2ppa_1.13-9_amd64.log,13,0,12,0,1
policykit-1_0.115-3_amd64.log,13,0,13,0,0
powermgmt-base_1.31_amd64.log,0,0,0,0,0
ppp_2.4.7-2+4_amd64.log,0,0,0,0,0
procps_2:3.3.14-1+b1_amd64.log,34,0,34,0,0
psmisc_23.1-1+b1_amd64.log,13,0,13,0,0
pulseaudio_12.2-4_amd64.log,76,0,76,0,0
pxljr_1.4+repack0-5_amd64.log,18,0,18,0,0
python-apt_1.8.4_amd64.log,0,0,0,0,0
python-crypto_2.6.1-9+b1_amd64.log,0,0,0,0,0
python-cups_1.9.73-2+b1_amd64.log,0,0,0,0,0
python-httplib2_0.2.0-2_amd64.log,0,0,0,0,0
python-imaging_1.1.7-2+b1_amd64.log,305,0,0,0,305
python-pam_0.4.2-13_amd64.log,5,0,0,0,5
radeontool_1.6.3-1+b1_amd64.log,6,0,6,0,0
rdesktop_1.8.3-2+b1_amd64.log,0,0,0,0,0
