file,directory,stack_protection
/bin/bash,/bin, ENABLED
/bin/btrfs,/bin, ENABLED
/bin/btrfs-calc-size,/bin, ENABLED
/bin/btrfsck,/bin, ENABLED
/bin/btrfs-convert,/bin, ENABLED
/bin/btrfs-debug-tree,/bin, ENABLED
/bin/btrfs-find-root,/bin, ENABLED
/bin/btrfs-image,/bin, ENABLED
/bin/btrfs-map-logical,/bin, ENABLED
/bin/btrfs-select-super,/bin, ENABLED
/bin/btrfs-show-super,/bin, ENABLED
/bin/btrfstune,/bin, ENABLED
/bin/btrfs-zero-log,/bin, ENABLED
/bin/bunzip2,/bin, ENABLED
/bin/busybox,/bin, DISABLED
/bin/bzcat,/bin, ENABLED
/bin/bzcmp,/bin, NOT AN ELF FILE
/bin/bzdiff,/bin, NOT AN ELF FILE
/bin/bzegrep,/bin, NOT AN ELF FILE
/bin/bzexe,/bin, NOT AN ELF FILE
/bin/bzfgrep,/bin, NOT AN ELF FILE
/bin/bzgrep,/bin, NOT AN ELF FILE
/bin/bzip2,/bin, ENABLED
/bin/bzip2recover,/bin, DISABLED
/bin/bzless,/bin, NOT AN ELF FILE
/bin/bzmore,/bin, NOT AN ELF FILE
/bin/cat,/bin, ENABLED
/bin/chacl,/bin, ENABLED
/bin/chgrp,/bin, ENABLED
/bin/chmod,/bin, ENABLED
/bin/chown,/bin, ENABLED
/bin/chvt,/bin, ENABLED
/bin/cp,/bin, ENABLED
/bin/cpio,/bin, ENABLED
/bin/dash,/bin, ENABLED
/bin/date,/bin, ENABLED
/bin/dd,/bin, ENABLED
/bin/df,/bin, ENABLED
/bin/dir,/bin, ENABLED
/bin/dmesg,/bin, ENABLED
/bin/dnsdomainname,/bin, ENABLED
/bin/domainname,/bin, ENABLED
/bin/dumpkeys,/bin, ENABLED
/bin/echo,/bin, ENABLED
/bin/egrep,/bin, NOT AN ELF FILE
/bin/false,/bin, ENABLED
/bin/fgconsole,/bin, ENABLED
/bin/fgrep,/bin, NOT AN ELF FILE
/bin/findmnt,/bin, ENABLED
/bin/fsck.btrfs,/bin, NOT AN ELF FILE
/bin/fusermount,/bin, ENABLED
/bin/getfacl,/bin, ENABLED
/bin/grep,/bin, ENABLED
/bin/gunzip,/bin, NOT AN ELF FILE
/bin/gzexe,/bin, NOT AN ELF FILE
/bin/gzip,/bin, ENABLED
/bin/hostname,/bin, ENABLED
/bin/ip,/bin, ENABLED
/bin/journalctl,/bin, ENABLED
/bin/kbd_mode,/bin, ENABLED
/bin/kill,/bin, ENABLED
/bin/kmod,/bin, ENABLED
/bin/less,/bin, ENABLED
/bin/lessecho,/bin, ENABLED
/bin/lessfile,/bin, NOT AN ELF FILE
/bin/lesskey,/bin, ENABLED
/bin/lesspipe,/bin, NOT AN ELF FILE
